# LAMMPS data file written by OVITO Basic 3.7.9
1966 atoms
1 atom types
-22.9355006377 82.9355006377 xlo xhi
-54.8396634112 54.8396634112 ylo yhi
-43.9979453846 63.9979453846 zlo zhi

Atoms  # atomic

48088 1 28.9743 -49.3988 8.82382
52936 1 26.0414 -46.5584 11.6278
52941 1 28.9036 -49.8635 11.5361
52938 1 27.5027 -47.9792 10.2278
52937 1 27.444 -48.4411 12.9444
52935 1 25.9848 -47.0089 14.3546
52940 1 28.8893 -47.5583 14.5651
86333 1 -20.7886 -47.0921 45.457
86337 1 -17.8264 -47.2394 45.5892
86330 1 -21.0227 -47.0403 48.2217
91329 1 -22.3018 -48.56 49.7938
91333 1 -19.3417 -48.7886 49.9005
91328 1 -22.3995 -48.626 52.7111
95989 1 -22.3596 -48.8297 55.6361
53182 1 24.5839 -45.1381 13.0162
52939 1 28.7484 -46.1281 11.8276
53178 1 23.1198 -43.7277 14.3847
57720 1 24.5335 -45.5538 15.7647
53184 1 25.8956 -43.3118 14.5289
53186 1 27.3139 -44.7095 13.2046
53192 1 29.1303 -45.1817 14.5867
57725 1 27.4193 -46.1194 15.985
57933 1 27.6282 -43.7404 16.0095
57926 1 24.4872 -41.8368 15.5839
57924 1 23.1663 -43.9623 17.1417
57929 1 25.9483 -44.6676 17.4283
57925 1 24.381 -43.0963 18.9757
57928 1 25.8893 -42.2744 17.398
58123 1 21.715 -39.6241 18.6045
57923 1 23.1029 -41.0862 17.2539
58130 1 25.9372 -39.8442 17.2146
58126 1 24.4101 -38.1997 18.7027
57927 1 24.5273 -40.5664 19.0085
62930 1 22.9635 -38.839 20.4301
77005 1 -16.4117 -42.6184 38.2684
77008 1 -13.5338 -42.581 38.2816
77002 1 -17.9633 -41.0269 36.6259
77222 1 -16.9902 -39.1792 37.7656
77228 1 -15.0617 -38.0657 36.6525
77006 1 -15.044 -40.9951 36.7533
77232 1 -13.4696 -39.7239 38.3043
77233 1 -11.9407 -38.3409 36.9737
77239 1 -9.07587 -38.3926 37.0109
81894 1 -19.4262 -42.555 40.9559
81898 1 -16.5477 -42.5957 41.048
81900 1 -14.9079 -44.1233 39.8447
81904 1 -11.9844 -44.2526 39.8635
82088 1 -17.0993 -38.9579 40.4794
77001 1 -18.1119 -41.0218 39.4463
81902 1 -14.3335 -41.6984 40.3476
77226 1 -15.7077 -40.4809 39.1014
82094 1 -14.2766 -38.9129 40.4683
82098 1 -11.8605 -38.6402 39.972
81905 1 -11.8883 -41.4128 39.9332
81892 1 -20.8415 -44.0291 42.43
81703 1 -22.266 -45.5099 43.8941
86550 1 -21.3998 -43.4362 44.7962
81896 1 -17.902 -44.1302 42.5562
81710 1 -19.3544 -45.6083 44.0008
81720 1 -16.3658 -45.7968 44.1834
86555 1 -18.8363 -43.327 44.709
81899 1 -14.9146 -44.35 42.7686
86561 1 -16.0852 -43.2771 44.62
81888 1 -22.6395 -42.0942 43.3208
81890 1 -21.219 -40.5991 41.8724
81893 1 -19.9205 -41.9201 43.2917
81897 1 -17.3392 -41.8529 43.2656
82085 1 -18.4775 -40.4583 41.8569
82090 1 -15.8269 -40.3551 41.8303
81901 1 -14.6025 -41.8481 43.1433
86328 1 -22.5345 -45.4411 46.6689
86552 1 -20.2587 -44.8339 46.1868
86549 1 -21.617 -43.303 47.5681
86557 1 -17.539 -44.717 46.0355
86335 1 -18.9141 -46.1516 47.471
91331 1 -21.7526 -46.2302 50.4014
86551 1 -20.3752 -44.7475 48.8952
91335 1 -19.032 -46.2052 50.206
91330 1 -21.849 -46.2233 53.1208
95992 1 -22.0061 -46.3219 55.9453
58124 1 21.719 -36.7223 18.6604
